Order ID,Date,Items,Total,Status
AVT-100101,"5/29/2026",3,4800,Placed
AVT-100102,"5/29/2026",1,8500,Placed
AVT-100103,"5/28/2026",2,5000,Processing
AVT-100104,"5/28/2026",1,6800,Processing
AVT-100105,"5/27/2026",3,5200,Shipped
AVT-100106,"5/25/2026",3,5400,Delivered
AVT-100107,"5/24/2026",1,9500,Delivered
AVT-100108,"5/21/2026",2,6700,Delivered
AVT-100109,"5/17/2026",1,12500,Delivered
AVT-100110,"5/13/2026",2,4700,Delivered
AVT-100111,"5/9/2026",4,5200,Delivered
AVT-100112,"5/4/2026",3,8900,Delivered
